"","Afghanistan","Armenia","Bangladesh","China","Democratic Republic of the Congo","Eritrea","Former Yugoslav Republic of Macedonia, the","Georgia","Guinea","Iran","Iraq","Kosovo","Nigeria","Pakistan","Russia","Serbia","Somalia","Sri Lanka","Syria","Turkey"
"Austria",0.467042650687346,0.134042553191489,0.111842105263158,0.135135135135135,0.578125,0.590909090909091,0.0368421052631579,0.0792452830188679,0.185185185185185,0.52059925093633,0.744897959183674,0.0826666666666667,0.0374331550802139,0.0207570207570208,0.292054212064842,0.0954063604240283,0.697318007662835,0.210526315789474,0.715008431703204,0.155789473684211
"Belgium",0.482758620689655,0.0159453302961276,0.0108108108108108,0.742857142857143,0.154330708661417,0.66,0.0309917355371901,0.0187265917602996,0.320574162679426,0.226618705035971,0.528508771929825,0.0835579514824798,0.0393700787401575,0.050125313283208,0.180712423979149,0.119827586206897,0.412371134020619,0.426900584795322,0.754658385093168,0.201634877384196
"Bulgaria",0.411764705882353,0.0454545454545455,0,0,0,NA,0,0,NA,0.258064516129032,0.504854368932039,NA,0,0,0,NA,0.533333333333333,0,0.934684684684685,0.142857142857143
"Croatia",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.285714285714286,NA,1,0.5
"Cyprus",0,0,0,0,0,NA,NA,0.0476190476190476,0,0.0594059405940594,0.577922077922078,NA,0,0,0.0833333333333333,0.272727272727273,0,0,0.175757575757576,0.204081632653061
"Czech Republic",0.588235294117647,0.166666666666667,0,0,0.333333333333333,1,0,0.166666666666667,0,0.142857142857143,0.833333333333333,0.0909090909090909,0,0.25,0.360655737704918,0,1,0,0.609756097560976,0
"Denmark",0.380774032459426,0.15,0.0277777777777778,0.0526315789473684,0.384615384615385,0.566666666666667,0,0.133333333333333,0,0.564625850340136,0.418994413407821,0.147826086956522,0,0.125,0.389972144846797,0.101973684210526,0.406976744186047,0.194444444444444,0.774628879892038,0.0454545454545455
"Estonia",0.4,0,NA,NA,0,NA,NA,0.142857142857143,NA,NA,NA,NA,0,NA,0.5,NA,1,1,0,NA
"Finland",0.542056074766355,0,0.230769230769231,1,0.533333333333333,0.5,0,0,0.285714285714286,0.467532467532468,0.597173144876325,0.0961538461538462,0.180851063829787,0.25,0.29595015576324,0.0533333333333333,0.562596599690881,0.256410256410256,0.752941176470588,0.158536585365854
"France",0.466996699669967,0.0542362002567394,0.0217775161859918,0.129943502824859,0.161172161172161,0.381196581196581,0.0251716247139588,0.0468975468975469,0.209931170108161,0.570247933884298,0.765193370165746,0.0449230769230769,0.0597701149425287,0.0351027397260274,0.190558576371725,0.10075329566855,0.356371490280778,0.20356300759759,0.866310160427808,0.0699652106687283
